Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
1070384.0	1038.8	457.1	1023.2	454.8	1220.0	1196.0
1070385.0	1035.8	457.8	1021.6	453.8	1214.0	1200.0
1070386.0	1037.5	457.4	1021.2	456.7	1225.0	1203.0
1070387.0	1037.4	457.9	1022.6	457.4	1214.0	1195.0
1070388.0	1034.9	457.5	1021.8	456.2	1212.0	1199.0
1070389.0	1036.6	456.3	1021.2	457.6	1214.0	1197.0
1070390.0	1036.6	458.0	1022.7	458.8	1224.0	1198.0
1070391.0	1037.3	458.2	1019.2	457.6	1223.0	1197.0
1070392.0	1035.3	459.1	1022.4	457.3	1221.0	1203.0
1070393.0	1036.6	456.5	1020.0	457.9	1217.0	1206.0
1070394.0	1037.2	458.8	1021.3	457.2	1218.0	1202.0
1070395.0	1039.1	458.7	1020.8	455.2	1226.0	1200.0
1070396.0	1037.5	458.2	1023.4	455.7	1223.0	1201.0
1070397.0	1035.9	460.4	1019.1	456.8	1222.0	1202.0
1070398.0	1035.2	460.7	1021.8	458.0	1222.0	1201.0
1070399.0	1033.4	456.1	1020.3	456.8	1223.0	1197.0
1070400.0	1039.3	459.1	1021.6	456.7	1219.0	1202.0
1070401.0	1037.7	459.3	1020.7	456.2	1222.0	1204.0
1070402.0	1037.3	455.9	1019.0	455.9	1216.0	1197.0
1070403.0	1037.5	456.9	1019.5	455.5	1220.0	1201.0
1070404.0	1035.8	459.9	1021.0	457.5	1211.0	1200.0
1070405.0	1036.9	458.9	1020.7	456.7	1211.0	1193.0
1070406.0	1034.5	457.3	1019.2	457.5	1217.0	1206.0
1070407.0	1034.5	457.6	1019.3	456.6	1220.0	1201.0
1070408.0	1034.9	456.3	1022.7	456.4	1220.0	1204.0
1070409.0	1038.4	456.7	1021.4	454.3	1219.0	1199.0
1070410.0	1034.4	458.2	1020.7	457.8	1223.0	1204.0
1070411.0	1034.3	459.6	1018.1	457.0	1221.0	1204.0
1070412.0	1036.9	457.9	1020.3	455.8	1224.0	1196.0
1070413.0	1035.1	457.3	1018.7	455.2	1218.0	1202.0
1070414.0	1037.2	458.0	1019.8	457.0	1212.0	1203.0
1070415.0	1035.9	459.7	1022.2	458.9	1213.0	1196.0
1070416.0	1037.8	458.4	1019.7	455.5	1218.0	1199.0
1070417.0	1037.3	456.6	1020.5	456.1	1222.0	1203.0
1070418.0	1038.3	456.5	1022.4	458.2	1224.0	1199.0
1070419.0	1035.5	456.1	1019.0	457.8	1225.0	1199.0
1070420.0	1036.1	457.6	1018.7	455.9	1222.0	1204.0
1070421.0	1036.6	457.2	1019.6	457.5	1229.0	1201.0
1070422.0	1036.0	458.6	1018.3	457.0	1227.0	1199.0
1070423.0	1034.7	458.1	1020.6	455.6	1223.0	1196.0
1070424.0	1034.6	458.5	1017.9	454.9	1220.0	1197.0
