Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
9655163.0	951.6	562.6	963.5	568.2	1956.0	2104.0
9655164.0	949.7	562.2	962.5	570.2	1955.0	2107.0
9655165.0	948.0	562.4	965.0	569.3	1956.0	2110.0
9655166.0	951.7	563.9	963.0	570.3	1961.0	2108.0
9655167.0	949.0	560.2	964.6	569.2	1963.0	2111.0
9655168.0	951.6	561.9	960.8	568.2	1967.0	2103.0
9655169.0	947.4	563.1	965.8	569.2	1970.0	2114.0
9655170.0	950.5	562.3	966.3	565.8	1971.0	2129.0
9655171.0	951.0	561.6	967.2	569.4	1975.0	2112.0
9655172.0	951.8	562.4	963.3	570.0	1972.0	2115.0
9655173.0	951.1	562.2	966.8	569.9	1970.0	2117.0
9655174.0	953.2	563.4	967.1	567.0	1973.0	2118.0
9655175.0	952.4	563.8	965.1	566.5	1983.0	2117.0
9655176.0	952.4	559.6	962.3	570.7	1973.0	2112.0
9655177.0	953.4	562.7	967.2	567.5	1986.0	2124.0
9655178.0	952.4	563.2	965.8	569.6	1980.0	2119.0
9655179.0	950.5	562.9	962.1	568.8	1975.0	2114.0
9655180.0	950.0	562.9	965.3	569.0	1977.0	2110.0
9655181.0	951.5	561.9	964.1	568.6	1977.0	2115.0
9655182.0	950.4	561.9	966.0	572.0	1978.0	2122.0
9655183.0	952.2	563.7	963.9	567.6	1977.0	2115.0
9655184.0	954.0	564.8	967.1	567.4	1980.0	2112.0
9655185.0	952.1	560.9	963.3	569.7	1986.0	2115.0
9655186.0	951.4	563.2	963.1	569.2	1987.0	2121.0
9655187.0	951.8	561.1	962.1	568.1	1980.0	2110.0
9655188.0	951.1	561.5	967.2	568.1	1980.0	2117.0
9655189.0	952.7	562.5	966.7	569.0	1984.0	2116.0
9655190.0	953.1	562.0	965.3	569.4	1989.0	2127.0
9655191.0	951.6	562.4	970.0	566.9	1978.0	2121.0
9655192.0	954.0	562.3	963.8	566.3	1988.0	2125.0
9655193.0	952.8	563.0	965.1	568.5	1987.0	2129.0
9655194.0	952.4	562.9	965.0	566.6	1984.0	2130.0
9655195.0	950.3	560.9	963.5	566.8	1987.0	2130.0
9655196.0	951.6	561.7	966.9	568.7	1994.0	2129.0
9655197.0	952.4	562.0	967.2	569.5	1991.0	2141.0
9655198.0	952.5	562.9	964.1	566.0	1991.0	2135.0
9655199.0	953.4	560.5	967.6	568.3	2000.0	2137.0
9655200.0	950.8	562.6	971.1	569.5	1992.0	2136.0
9655201.0	952.5	562.5	966.9	565.8	1996.0	2140.0
9655202.0	952.3	561.8	963.5	568.9	1992.0	2135.0
9655203.0	952.1	563.4	964.9	568.4	2003.0	2140.0
9655204.0	952.0	562.7	966.1	567.2	1998.0	2144.0
9655205.0	951.1	561.7	967.8	566.4	1993.0	2145.0
