Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
10138431.0	1032.7	505.2	1027.7	518.3	1459.0	1588.0
10138432.0	1032.1	505.5	1027.8	516.6	1457.0	1579.0
10138433.0	1032.3	506.2	1030.1	519.8	1457.0	1577.0
10138434.0	1031.3	505.9	1026.9	520.4	1451.0	1572.0
10138435.0	1033.1	503.2	1028.0	516.8	1454.0	1584.0
10138436.0	1031.4	506.3	1029.9	519.7	1454.0	1591.0
10138437.0	1032.3	505.2	1027.0	518.6	1451.0	1589.0
10138438.0	1031.5	504.0	1028.1	518.7	1452.0	1584.0
10138439.0	1031.8	504.3	1031.2	514.8	1455.0	1596.0
10138440.0	1034.4	507.4	1029.9	518.0	1459.0	1585.0
10138441.0	1031.9	507.5	1028.4	519.0	1459.0	1592.0
10138442.0	1030.7	505.8	1027.2	516.6	1456.0	1585.0
10138443.0	1032.2	508.0	1027.3	518.6	1461.0	1574.0
10138444.0	1032.1	508.8	1023.9	519.3	1455.0	1583.0
10138445.0	1029.9	505.6	1030.4	515.4	1453.0	1590.0
10138446.0	1032.6	506.6	1027.5	521.3	1461.0	1589.0
10138447.0	1032.2	507.0	1027.7	516.8	1455.0	1589.0
10138448.0	1034.3	507.7	1029.0	518.2	1460.0	1581.0
10138449.0	1033.7	508.0	1027.0	518.0	1453.0	1588.0
10138450.0	1031.6	505.4	1027.0	517.0	1463.0	1586.0
10138451.0	1032.9	504.9	1027.6	518.9	1461.0	1585.0
10138452.0	1033.4	503.5	1027.8	517.2	1464.0	1577.0
10138453.0	1032.2	504.9	1026.3	521.2	1456.0	1585.0
10138454.0	1031.6	506.5	1026.9	520.1	1460.0	1589.0
10138455.0	1031.8	505.5	1026.4	517.8	1459.0	1579.0
10138456.0	1031.4	505.6	1031.7	518.8	1462.0	1588.0
10138457.0	1032.8	503.1	1029.3	516.7	1465.0	1582.0
10138458.0	1031.5	504.9	1029.5	516.3	1466.0	1596.0
10138459.0	1032.4	504.6	1027.6	517.8	1469.0	1589.0
10138460.0	1032.0	506.7	1026.0	516.7	1458.0	1578.0
10138461.0	1031.5	504.9	1028.6	518.5	1470.0	1593.0
10138462.0	1033.7	506.2	1028.9	518.2	1466.0	1598.0
10138463.0	1031.7	506.3	1027.4	517.0	1466.0	1591.0
10138464.0	1031.1	506.3	1030.0	519.7	1459.0	1597.0
10138465.0	1030.5	505.8	1028.6	517.6	1469.0	1591.0
10138466.0	1033.9	506.8	1027.0	514.1	1467.0	1600.0
10138467.0	1033.6	507.7	1025.6	521.2	1470.0	1590.0
10138468.0	1032.4	504.0	1029.1	518.6	1465.0	1587.0
10138469.0	1032.7	505.9	1028.4	518.1	1466.0	1596.0
10138470.0	1032.5	506.1	1027.5	514.8	1471.0	1598.0
10138471.0	1032.3	506.3	1025.1	519.5	1461.0	1591.0
10138472.0	1032.8	504.7	1026.3	520.3	1461.0	1588.0
10138473.0	1033.4	505.0	1026.1	517.5	1473.0	1605.0
10138474.0	1032.4	504.4	1028.8	517.2	1470.0	1604.0
10138475.0	1032.4	506.0	1028.8	515.9	1466.0	1593.0
10138476.0	1034.2	506.1	1029.5	515.9	1474.0	1602.0
10138477.0	1032.3	504.9	1023.8	521.0	1467.0	1595.0
10138478.0	1035.7	504.8	1030.2	518.7	1469.0	1600.0
10138479.0	1032.1	506.1	1028.3	519.3	1473.0	1594.0
10138480.0	1033.7	504.8	1028.7	518.5	1466.0	1605.0
10138481.0	1034.3	505.2	1025.9	517.7	1472.0	1598.0
10138482.0	1030.9	504.4	1025.3	522.1	1468.0	1587.0
10138483.0	1033.2	507.8	1030.6	520.8	1475.0	1586.0
10138484.0	1033.1	506.5	1028.2	520.8	1467.0	1585.0
10138485.0	1033.9	506.0	1029.6	517.3	1470.0	1587.0
10138486.0	1035.1	504.9	1026.2	519.7	1468.0	1589.0
10138487.0	1033.8	503.5	1030.6	518.7	1472.0	1598.0
