Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
857133.0	1096.3	525.3	1063.9	503.4	1220.0	1127.0
857134.0	1092.8	528.4	1062.4	504.6	1211.0	1130.0
857135.0	1095.3	524.6	1062.0	503.4	1218.0	1131.0
857136.0	1095.1	525.2	1062.8	503.3	1208.0	1125.0
857137.0	1095.4	528.0	1062.1	503.7	1219.0	1128.0
857138.0	1096.2	525.4	1064.7	503.1	1223.0	1133.0
857139.0	1095.5	524.3	1062.2	504.3	1219.0	1128.0
857140.0	1094.3	526.8	1061.4	504.6	1221.0	1128.0
857141.0	1094.2	524.0	1061.0	505.3	1210.0	1138.0
857142.0	1095.0	526.5	1062.2	504.2	1221.0	1135.0
857143.0	1094.2	526.6	1062.9	504.6	1208.0	1139.0
857144.0	1096.7	525.1	1063.7	504.3	1217.0	1132.0
857145.0	1097.1	526.4	1064.9	504.3	1211.0	1132.0
857146.0	1096.2	524.8	1063.4	505.7	1217.0	1122.0
857147.0	1093.7	523.7	1063.4	504.0	1222.0	1130.0
857148.0	1094.2	526.0	1064.7	502.2	1216.0	1127.0
857149.0	1094.0	524.9	1063.4	504.7	1213.0	1134.0
857150.0	1092.3	525.2	1063.3	504.7	1209.0	1126.0
857151.0	1093.8	527.0	1062.5	503.3	1219.0	1128.0
857152.0	1095.0	525.4	1064.8	508.4	1222.0	1133.0
857153.0	1093.1	524.5	1062.7	504.6	1224.0	1135.0
857154.0	1095.8	527.0	1063.8	503.0	1214.0	1129.0
857155.0	1093.4	527.5	1064.2	504.0	1208.0	1135.0
857156.0	1093.2	525.3	1062.8	502.1	1219.0	1134.0
857157.0	1094.2	525.9	1061.8	505.4	1218.0	1126.0
857158.0	1092.8	525.5	1065.3	503.9	1220.0	1131.0
857159.0	1092.6	524.8	1063.4	504.8	1219.0	1123.0
857160.0	1094.6	526.5	1062.4	502.9	1217.0	1127.0
857161.0	1094.6	525.9	1064.1	503.3	1217.0	1126.0
857162.0	1092.4	525.8	1064.1	502.4	1219.0	1128.0
857163.0	1092.0	527.0	1063.4	504.3	1202.0	1129.0
857164.0	1093.2	526.2	1063.2	504.4	1224.0	1133.0
857165.0	1091.8	526.9	1064.1	504.4	1223.0	1134.0
857166.0	1095.1	524.6	1064.9	506.2	1225.0	1132.0
857167.0	1093.8	524.5	1065.9	504.7	1217.0	1126.0
857168.0	1092.5	525.0	1065.0	504.5	1223.0	1134.0
857169.0	1090.7	525.3	1064.1	504.4	1214.0	1131.0
857170.0	1095.2	524.8	1062.6	505.9	1216.0	1130.0
857171.0	1094.7	527.5	1062.7	504.9	1227.0	1125.0
857172.0	1094.2	525.3	1064.6	506.0	1222.0	1124.0
857173.0	1094.7	524.7	1062.7	501.8	1219.0	1131.0
857174.0	1092.3	526.9	1064.0	504.9	1218.0	1131.0
857175.0	1095.0	524.5	1063.1	506.7	1220.0	1130.0
857176.0	1096.6	524.0	1064.9	503.6	1217.0	1134.0
857177.0	1092.7	525.2	1062.1	503.5	1222.0	1127.0
857178.0	1094.3	524.4	1065.3	505.8	1223.0	1136.0
857179.0	1093.0	526.9	1063.7	504.4	1220.0	1132.0
