Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
1026962.0	954.9	537.4	962.5	562.0	1212.0	1178.0
1026963.0	957.6	541.5	960.0	563.7	1213.0	1179.0
1026964.0	956.3	541.6	961.3	562.9	1210.0	1175.0
1026965.0	954.5	543.1	961.3	563.1	1213.0	1175.0
1026966.0	955.6	539.3	961.5	562.0	1217.0	1182.0
1026967.0	955.4	540.1	959.4	563.1	1202.0	1176.0
1026968.0	953.8	539.5	960.4	561.5	1205.0	1172.0
1026969.0	956.7	541.2	960.5	562.9	1215.0	1173.0
1026970.0	954.9	542.1	960.6	562.8	1207.0	1173.0
1026971.0	955.5	541.1	960.2	560.7	1223.0	1174.0
1026972.0	955.8	540.6	962.0	561.7	1214.0	1175.0
1026973.0	955.2	543.0	961.9	561.5	1217.0	1180.0
1026974.0	955.4	542.3	962.0	561.2	1221.0	1184.0
1026975.0	955.4	541.0	960.1	560.1	1213.0	1179.0
1026976.0	956.3	543.1	960.8	563.2	1213.0	1181.0
1026977.0	953.9	541.8	962.3	563.5	1211.0	1178.0
1026978.0	954.9	539.4	961.6	562.4	1217.0	1179.0
1026979.0	958.2	542.3	961.2	560.9	1212.0	1178.0
1026980.0	954.8	543.0	961.2	564.3	1218.0	1178.0
1026981.0	958.3	542.2	961.1	562.3	1220.0	1179.0
1026982.0	954.0	542.4	962.6	561.3	1213.0	1175.0
1026983.0	956.7	544.0	964.8	561.3	1224.0	1183.0
1026984.0	956.6	540.4	961.8	560.7	1214.0	1176.0
1026985.0	956.2	540.4	962.4	560.5	1223.0	1174.0
1026986.0	956.5	539.9	962.5	562.5	1215.0	1182.0
1026987.0	954.8	539.7	960.9	561.2	1217.0	1180.0
1026988.0	955.3	543.3	962.6	562.2	1217.0	1173.0
1026989.0	956.4	542.3	962.2	561.7	1228.0	1179.0
1026990.0	956.9	542.3	961.6	559.5	1212.0	1168.0
1026991.0	954.7	544.5	962.2	562.1	1216.0	1176.0
1026992.0	954.9	542.2	961.3	562.1	1219.0	1175.0
1026993.0	955.2	544.6	959.7	559.3	1215.0	1174.0
1026994.0	955.9	542.9	962.6	563.7	1218.0	1180.0
1026995.0	953.8	544.5	962.7	559.6	1219.0	1180.0
1026996.0	955.7	543.4	961.0	562.0	1221.0	1180.0
1026997.0	956.3	543.2	963.0	559.1	1226.0	1181.0
1026998.0	956.9	543.6	961.8	559.1	1220.0	1180.0
1026999.0	953.2	541.6	961.3	564.0	1212.0	1183.0
1027000.0	955.1	542.5	961.6	561.0	1219.0	1179.0
1027001.0	954.2	541.7	964.8	562.1	1223.0	1182.0
1027002.0	952.7	541.5	964.1	561.2	1220.0	1184.0
1027003.0	953.9	540.2	963.7	565.3	1223.0	1182.0
1027004.0	954.4	543.5	961.9	559.9	1220.0	1188.0
1027005.0	955.6	543.5	963.2	562.3	1222.0	1192.0
1027006.0	955.3	541.4	964.9	563.8	1222.0	1183.0
1027007.0	954.4	541.3	961.6	563.1	1219.0	1188.0
1027008.0	953.2	542.4	964.5	562.2	1211.0	1177.0
1027009.0	954.6	543.1	963.9	560.1	1218.0	1185.0
1027010.0	957.5	541.9	963.2	562.6	1219.0	1185.0
