Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
9965451.0	939.9	440.8	950.4	444.0	1718.0	1880.0
9965452.0	941.8	442.1	951.5	443.4	1704.0	1871.0
9965453.0	942.4	444.5	951.7	443.5	1712.0	1884.0
9965454.0	940.3	442.3	954.1	440.5	1721.0	1886.0
9965455.0	940.3	441.7	951.6	441.0	1708.0	1872.0
9965456.0	939.4	442.0	951.4	443.1	1720.0	1879.0
9965457.0	942.5	439.8	950.7	443.1	1719.0	1896.0
9965458.0	941.6	440.3	952.0	444.1	1724.0	1886.0
9965459.0	940.9	442.2	956.8	443.2	1711.0	1891.0
9965460.0	941.2	441.4	954.0	440.5	1718.0	1886.0
9965461.0	941.4	442.6	952.7	438.1	1709.0	1884.0
9965462.0	941.1	440.2	947.2	442.3	1713.0	1873.0
9965463.0	942.1	442.8	953.0	440.3	1718.0	1891.0
9965464.0	940.2	441.2	951.6	441.0	1710.0	1882.0
9965465.0	940.8	441.3	950.9	437.9	1712.0	1881.0
9965466.0	942.4	439.7	952.6	442.2	1712.0	1883.0
9965467.0	941.7	441.7	955.8	440.7	1715.0	1887.0
9965468.0	939.6	441.2	953.4	439.5	1721.0	1884.0
9965469.0	941.7	440.3	951.1	441.7	1713.0	1881.0
9965470.0	941.5	441.8	952.7	443.7	1715.0	1875.0
9965471.0	938.3	442.5	949.9	442.3	1711.0	1873.0
9965472.0	941.8	438.9	952.3	442.5	1718.0	1880.0
9965473.0	940.0	440.7	952.7	442.3	1713.0	1877.0
9965474.0	940.9	440.8	951.7	445.0	1714.0	1877.0
9965475.0	941.4	441.0	949.7	442.7	1713.0	1873.0
9965476.0	941.7	440.6	952.0	443.2	1717.0	1880.0
9965477.0	941.5	440.5	952.2	441.6	1713.0	1876.0
9965478.0	941.4	441.8	954.3	441.8	1719.0	1882.0
9965479.0	941.7	441.2	951.6	441.9	1720.0	1868.0
9965480.0	942.1	442.1	953.0	442.8	1717.0	1882.0
9965481.0	941.5	441.9	955.2	441.5	1707.0	1877.0
9965482.0	942.5	442.8	952.9	442.7	1716.0	1881.0
9965483.0	941.8	440.2	956.1	440.5	1713.0	1880.0
9965484.0	942.7	441.6	952.8	445.0	1713.0	1871.0
9965485.0	942.0	442.0	953.0	442.9	1717.0	1881.0
9965486.0	940.7	443.0	953.7	445.2	1703.0	1868.0
9965487.0	941.4	442.3	956.4	441.6	1721.0	1881.0
9965488.0	940.8	441.6	952.5	445.4	1719.0	1863.0
9965489.0	942.7	443.1	952.7	442.2	1703.0	1873.0
9965490.0	940.2	442.7	952.5	445.7	1710.0	1879.0
9965491.0	941.9	440.7	952.9	443.2	1719.0	1869.0
9965492.0	943.0	441.9	948.9	444.1	1709.0	1856.0
9965493.0	943.2	440.7	953.7	443.6	1706.0	1870.0
9965494.0	941.9	440.2	957.3	444.0	1712.0	1877.0
9965495.0	942.4	443.0	953.0	443.5	1710.0	1879.0
9965496.0	943.2	442.2	954.3	445.3	1711.0	1876.0
9965497.0	942.0	441.0	955.4	442.2	1711.0	1875.0
9965498.0	941.6	441.0	948.1	444.5	1711.0	1870.0
9965499.0	943.0	440.5	951.1	445.7	1704.0	1866.0
9965500.0	941.9	442.1	949.9	443.2	1714.0	1863.0
9965501.0	941.2	442.8	950.7	442.5	1716.0	1870.0
9965502.0	942.0	443.0	952.7	445.9	1711.0	1863.0
9965503.0	940.5	440.9	950.8	444.3	1714.0	1862.0
9965504.0	941.9	442.4	955.7	444.5	1714.0	1869.0
9965505.0	942.2	441.5	954.7	442.5	1704.0	1865.0
9965506.0	938.9	440.5	953.7	442.5	1709.0	1871.0
9965507.0	941.8	442.0	952.4	445.2	1708.0	1855.0
9965508.0	941.8	442.1	950.2	442.9	1716.0	1868.0
9965509.0	942.5	444.3	952.1	444.5	1722.0	1867.0
9965510.0	942.3	443.5	955.1	445.7	1710.0	1867.0
9965511.0	941.1	442.3	951.3	443.4	1716.0	1858.0
9965512.0	942.6	442.5	950.9	442.4	1715.0	1863.0
9965513.0	943.1	441.7	952.9	446.3	1714.0	1859.0
9965514.0	941.3	441.5	955.2	443.1	1711.0	1863.0
9965515.0	940.9	442.3	953.7	442.3	1712.0	1853.0
9965516.0	942.0	440.5	954.2	446.3	1710.0	1859.0
9965517.0	942.4	441.9	951.8	442.6	1707.0	1853.0
9965518.0	942.0	444.1	953.7	441.7	1710.0	1858.0
9965519.0	941.7	441.7	948.1	441.5	1712.0	1854.0
