Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
10007060.0	1000.2	535.0	1002.7	538.7	1435.0	1609.0
10007061.0	1001.0	535.7	1004.1	537.6	1442.0	1606.0
10007062.0	1003.1	534.2	1001.2	540.4	1445.0	1607.0
10007063.0	1002.2	532.8	1005.7	539.5	1440.0	1608.0
10007064.0	1000.8	533.4	999.3	540.1	1443.0	1614.0
10007065.0	1002.4	535.0	1002.7	540.0	1449.0	1609.0
10007066.0	1002.1	535.1	1000.2	539.3	1438.0	1608.0
10007067.0	1001.4	534.0	1000.1	538.5	1441.0	1602.0
10007068.0	1001.1	533.3	1002.4	539.1	1445.0	1614.0
10007069.0	1000.2	535.4	999.3	538.1	1441.0	1607.0
10007070.0	1002.0	535.5	998.6	540.0	1447.0	1613.0
10007071.0	1001.8	534.6	1004.8	538.1	1443.0	1610.0
10007072.0	999.4	535.3	1001.7	537.8	1443.0	1611.0
10007073.0	1001.5	533.2	1000.9	536.7	1448.0	1614.0
10007074.0	1001.4	534.8	998.7	540.8	1444.0	1613.0
10007075.0	999.3	534.2	1000.8	538.0	1444.0	1611.0
10007076.0	1000.5	535.4	1001.8	539.5	1440.0	1609.0
10007077.0	1001.2	533.8	1003.5	538.0	1447.0	1610.0
10007078.0	1001.4	536.6	999.5	534.6	1441.0	1610.0
10007079.0	1000.6	534.8	1002.9	537.7	1444.0	1611.0
10007080.0	1002.2	535.0	1001.5	540.1	1439.0	1604.0
10007081.0	999.7	535.4	1000.6	537.6	1442.0	1613.0
10007082.0	1000.0	532.4	1001.8	538.8	1441.0	1614.0
10007083.0	1001.1	535.4	1000.7	539.5	1441.0	1599.0
10007084.0	1001.3	537.0	1003.5	540.7	1443.0	1607.0
10007085.0	1003.8	536.4	1000.9	536.1	1447.0	1607.0
10007086.0	1001.1	535.0	1003.1	539.1	1439.0	1604.0
10007087.0	1000.1	535.6	1003.0	539.6	1440.0	1609.0
10007088.0	998.7	536.4	1003.1	540.6	1444.0	1608.0
10007089.0	1002.0	535.9	1004.3	537.1	1437.0	1608.0
10007090.0	1001.3	535.4	1003.3	535.4	1444.0	1609.0
10007091.0	999.7	535.1	1002.6	539.4	1447.0	1601.0
10007092.0	1001.3	534.8	1000.2	539.5	1448.0	1613.0
10007093.0	1001.3	532.6	1000.1	539.3	1450.0	1613.0
10007094.0	1000.8	533.5	1006.9	539.5	1447.0	1612.0
10007095.0	1000.3	534.3	1004.5	539.1	1447.0	1617.0
10007096.0	1001.6	534.4	1001.1	540.8	1446.0	1606.0
10007097.0	1001.1	535.7	1003.0	540.4	1441.0	1615.0
10007098.0	1001.4	533.6	1002.0	540.0	1435.0	1607.0
10007099.0	1003.5	535.1	1001.9	535.8	1449.0	1613.0
10007100.0	1001.6	534.2	1006.5	537.3	1447.0	1619.0
10007101.0	1001.3	534.4	1003.6	537.3	1443.0	1612.0
10007102.0	1001.9	534.5	1001.7	538.6	1445.0	1614.0
10007103.0	999.1	533.6	1003.5	537.4	1437.0	1600.0
10007104.0	1001.8	534.3	1003.8	538.9	1444.0	1608.0
10007105.0	1000.1	534.8	1005.5	538.3	1443.0	1602.0
