Time	L POR X [px]	L POR Y [px]	R POR X [px]	R POR Y [px]	L Area [px]	R Area [px]
10134168.0	989.3	488.6	991.9	500.7	1549.0	1645.0
10134169.0	992.1	488.3	988.4	502.0	1544.0	1641.0
10134170.0	992.6	488.1	991.8	503.7	1545.0	1648.0
10134171.0	990.1	486.5	990.1	502.5	1554.0	1656.0
10134172.0	989.5	487.1	989.9	498.5	1557.0	1647.0
10134173.0	988.1	486.2	989.4	501.7	1551.0	1640.0
10134174.0	989.1	487.4	990.2	499.9	1546.0	1648.0
10134175.0	990.8	487.0	991.3	501.7	1552.0	1651.0
10134176.0	989.3	487.1	989.0	506.8	1546.0	1645.0
10134177.0	989.9	485.5	987.7	501.2	1552.0	1645.0
10134178.0	990.6	486.2	987.8	506.8	1548.0	1650.0
10134179.0	990.7	486.1	988.1	501.6	1547.0	1643.0
10134180.0	990.5	486.8	987.1	501.5	1551.0	1646.0
10134181.0	989.9	484.7	993.1	502.7	1554.0	1650.0
10134182.0	991.1	487.6	994.1	504.1	1543.0	1648.0
10134183.0	989.4	485.5	988.4	502.2	1548.0	1656.0
10134184.0	990.1	487.0	990.9	504.2	1545.0	1648.0
10134185.0	989.7	487.4	990.5	501.4	1550.0	1651.0
10134186.0	988.8	486.7	995.2	502.3	1548.0	1648.0
10134187.0	988.7	488.3	993.5	500.7	1554.0	1657.0
10134188.0	990.0	485.5	992.3	502.4	1550.0	1654.0
10134189.0	988.4	488.7	988.3	501.9	1548.0	1642.0
10134190.0	990.9	487.6	987.1	505.6	1550.0	1644.0
10134191.0	989.8	486.9	988.9	504.3	1549.0	1646.0
10134192.0	992.9	485.6	987.7	503.8	1551.0	1639.0
10134193.0	988.0	487.2	988.7	499.6	1552.0	1655.0
10134194.0	990.7	487.7	989.1	501.4	1548.0	1649.0
10134195.0	989.3	484.9	990.2	503.4	1545.0	1650.0
10134196.0	990.2	488.9	989.8	503.0	1549.0	1648.0
10134197.0	990.1	487.3	987.3	504.9	1561.0	1652.0
10134198.0	990.0	487.7	984.8	501.2	1549.0	1652.0
10134199.0	989.2	484.7	992.1	504.3	1554.0	1657.0
10134200.0	989.8	485.1	985.5	502.3	1544.0	1646.0
10134201.0	990.3	485.8	988.7	498.1	1548.0	1658.0
10134202.0	988.7	486.3	993.1	501.4	1552.0	1645.0
10134203.0	990.3	486.3	988.4	504.2	1542.0	1654.0
10134204.0	988.8	485.3	987.0	502.4	1541.0	1638.0
10134205.0	990.4	486.0	990.3	505.1	1551.0	1641.0
10134206.0	990.9	486.4	992.6	501.5	1546.0	1650.0
